Titre;Support;Heures de jeu
Age of Empires;PC;0
Age of Empires II : The Age of Kings;PC;15
Age of Empires III;PC;0
Age of Empires: Definitive Edition;PC;1
Alan Wake;PC;0
Animal Crossing: New Horizons;Nintendo Switch;20
Animal Crossing: New Leaf;Nintendo 3DS;17
Anno 1404;PC;0
Assassin's Creed;Xbox 360;0
Assassin's Creed II;Xbox 360;0
Assassin's Creed III;Xbox 360;0
Assassin's Creed IV: Black Flag;PC;3
Assassin's Creed IV: Black Flag;PC;3
Assassin's Creed Origins;PC;2
Assassin's Creed: Brotherhood;Xbox 360;0
Assassin's Creed: Revelations;Xbox 360;0
Asterix;Playstation;0
Astérix;Super Nintendo;0
Baten Kaitos;GameCube;127
Baten Kaitos Origins;GameCube;0
Batman: Arkham Asylum;Xbox 360;0
Batman: Arkham City;Xbox 360;0
Batman: Arkham Origins;PC;0
Blue Dragon;Xbox 360;0
Bravely Default;Nintendo 3DS;53
Bravely Default II;Nintendo Switch;0
Bully: Scholarship Edition;PC;0
Call Of Duty: World At War;Xbox 360;0
Chrono Trigger;Nintendo DS;0
Chrono Trigger;PC;7
Cities: Skylines;PC;43
Civilization V;PC;62
Civilization VI;PC;2
Clash Royale;iOS;58
Crash Team Racing;Playstation;0
Crisis Core: Final Fantasy VII;PSP;14
Cyberpunk 2077;PC;40
Destiny 2;Stadia;0
Deus Ex: Human Revolution;PC;1
Digimon World;Playstation;0
Digimon World 3: Aratanaru Bôken no Tobira (Digimon World 2003);Playstation;0
Disaster : Day of Crisis;Wii;0
Dissidia : Final Fantasy;PSP;49
Divinity: Original Sin Enhanced Edition;PC;0
Donkey Kong Country;Super Nintendo;0
Dragon Age: Origins;PC;0
Dragon Quest Builders;Nintendo Switch;10
Dragon Quest Heroes - Le Crépuscule de l'Arbre Monde;PC;6
Dragon Quest IV : L'Épopée des élus;Nintendo DS;0
????????IX ?????? - Dragon Quest IX: Hoshizora no Mamoribito (Dragon Quest IX : Les Sentinelles du Firmament);Nintendo DS;30
Dragon Quest V: Hand of the Heavenly Bride (Dragon Quest V : La Fiancée Céleste);Nintendo DS;0
Dragon Quest VII - La Quête des Vestiges du Monde;Nintendo 3DS;8
Doragon Kuesuto Eito Sora to Umi to Daichi to Norowareshi Himegimi (Dragon Quest VIII : L'Odyssée du Roi Maudit);Playstation 2;18
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition (Dragon Quest XI S : Les Combattants de la destinée - Edition Ultime);Nintendo Switch;65
Driver: You Are the Wheelman (Driver);Playstation;0
Empire: Total War;PC;0
TrustyBell ~ Chopin no Yume ~ (Eternal Sonata);Xbox 360;0
Fable II (Fable 2);Xbox 360;0
Fall Guys: Ultimate Knockout;Nintendo Switch;0
Fallout Shelter;iOS;4
Fallout Shelter;PC;7
Fallout Shelter;Nintendo Switch;5
FIFA 09;Xbox 360;0
FIFA 10;Xbox 360;0
FIFA 11;Xbox 360;0
FIFA 16;Playstation 4;12
FIFA 99;Playstation;0
Final Fantasy Crystal Chronicles;GameCube;87
Fainaru Fantaj? Sur? (Final Fantasy III);Nintendo DS;43
Fainaru Fantaj? F? (Final Fantasy IV);Nintendo DS;10
Final Fantasy IX;Playstation;0
Final Fantasy IX;PC;37
Final Fantasy Tactics;Playstation;0
Final Fantasy VII;Playstation;40
Final Fantasy VII;PC;3
Final Fantasy VIII;Playstation;0
Final Fantasy X;Playstation 2;33
Final Fantasy X / X-2 HD Remaster;PC;35
Final Fantasy XII;Playstation 2;0
Final Fantasy XIII;Xbox 360;80
Final Fantasy XIII;PC;21
Fainaru Fantaj? S?t?n Ts? (Final Fantasy XIII-2);Xbox 360;23
Final Fantasy XIV Shinsei Eorzea (Final Fantasy XIV : A Realm Reborn);PC;19
Final Fantasy XV;Playstation 4;35
Final Fantasy XV: Pocket Edition;Nintendo Switch;2
Fire Emblem : Awakening;Nintendo 3DS;15
Football Manager 2012;PC;121
Football Manager 2014;Macintosh;161
Football Manager 2016;PC;23
Fortnite;Nintendo Switch;0
Game Dev Tycoon;PC;28
Gears 5;PC;4
Gears of War;Xbox 360;0
Gears of War 2;Xbox 360;0
Gears of war 3;Xbox 360;0
Genshin Impact;PC;2
Gran Turismo;Playstation;0
Grindstone;iOS;1
Grand Theft Auto: Chinatown Wars (GTA : Chinatown Wars);Nintendo DS;0
Grand Theft Auto : Episodes from Liberty City (GTA : Episodes from Liberty City);Xbox 360;0
Grand Theft Auto: San Andreas (GTA : San Andreas);PC;0
Grand Theft Auto IV (GTA IV);Xbox 360;0
Grand Theft Auto IV (GTA IV);PC;12
Grand Theft Auto V (GTA V);PC;41
GWENT: The Witcher Card Game;PC;20
Halo 3;Xbox 360;0
Halo Wars;PC;0
Halo: Reach;Xbox 360;0
Harry Potter: Quidditch World Cup (Harry Potter : Coupe du Monde de Quidditch);GameBoy Advance;0
Harry Potter and the Philosopher's Stone (Harry Potter à l'Ecole des Sorciers);Playstation;0
Harry Potter and the Chamber of Secrets (Harry Potter et la Chambre des Secrets);Playstation;0
Harry Potter and the Prisoner of Azkaban (Harry Potter et le Prisonnier d'Azkaban);GameCube;0
Hearthstone - Heroes of Warcraft;PC;0
Hercules (Hercule);Playstation;0
Hogwarts Legacy (Hogwarts Legacy : L'Héritage de Poudlard);PC;18
